Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric",212.400000,-45.600000,90.000000,top
"C2","100nF","C_0805_2012Metric",226.600000,-46.600000,270.000000,top
"C3","10uF","C_0805_2012Metric",158.600000,-45.462500,270.000000,top
"C4","100nF","C_0805_2012Metric",212.400000,-49.662500,270.000000,top
"R1","3.3K","R_0805_2012Metric",161.337500,-47.000000,0.000000,top
"R2","3.3K","R_0805_2012Metric",161.337500,-49.000000,180.000000,top
"R3","3.3K","R_0805_2012Metric",144.662500,-45.200000,0.000000,top
"R4","3.3K","R_0805_2012Metric",144.662500,-47.200000,0.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",219.250000,-47.100000,180.000000,top
"U2","74LVC125APW,118","TSSOP-14-1EP_4.4x5mm_P0.65mm",152.400000,-48.000000,0.000000,top
