"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"capslock_led_resistor_SMD1";"R_0805_2012Metric";1;"-";;;
2;"R_HWB1";"R_0805_2012Metric";1;"10k";;;
3;"TP_D1,TP_D0";"PIN_1";2;"TestPoint";;;
4;"MX_Enter_2,MX_Backslash_1,MX_Space_L_6,MX_Macro_5,MX_Space_M_8,MX_Space_M_7,MX_Right_Gui_1,MX_Right_CTRL_1,MX_Right_ALT_1,MX_Menu_2,MX_Left_ALT_1,MX_Left_Gui_1,MX_Left_CTRL_1,MX_Delete_0,MX_Backspace_0,MX_0,MX_Menu_1,MX_Q_0,MX_Left_Gui_2,MX_Macro_0,MX_A_0,MX_Z_0,MX_Y_0,MX_X_0,MX_W_0,MX_V_0,MX_Macro_4,MX_UP_0,MX_U_0,MX_T_0,MX_Semicolon_0,MX_S_0,MX_RIGHT_0,MX_LEFT_1,MX_R_0,MX_Quote_0,MX_PLUS_0,MX_P_0,MX_Left_Bracket_0,MX_O_0,MX_N_0,MX_Macro_3,MX_Macro_2,MX_Macro_1,MX_M_0,MX_L_0,MX_K_0,MX_J_0,MX_I_0,MX_H_0,MX_G_0,MX_Slash_0,MX_F_0,MX_E_0,MX_DOWN_0,MX_D_0,MX_Right_Bracket_0,MX_C_0,MX_B_0,MX_Period_0,MX_Comma_0,MX_9,MX_8,MX_7,MX_6,MX_5,MX_4,MX_3,MX_2,MX_1,MX_ESC_0";"MXOnly-1U-NoLED";71;"MX-LED";;;
5;"MX_Capslock_1";"MXOnly-1.25U";1;"MX-LED";;;
6;"MX_Enter_1";"MXOnly-ISO-ROTATED-ReversedStabilizers-NoLED";1;"MX-LED";;;
7;"MX_Space_M_6,MX_Space_R_3,MX_Space_L_4,MX_Space_L_8,MX_Right_Shift_0";"MXOnly-2.75U-ReversedStabilizers-NoLED";5;"MX-LED";;;
8;"MX_Space_M_5,MX_Space_R_4,MX_Space_L_3,MX_Space_L_7,MX_Enter_0,MX_Left_Shift_1";"MXOnly-2.25U-ReversedStabilizers-NoLED";6;"MX-LED";;;
9;"MX_Space_L_5,MX_Space_M_4,MX_Space_M_3,MX_Left_Shift_0,MX_Left_CTRL_0,MX_Left_ALT_0,MX_Right_ALT_0,MX_Menu_0,MX_LEFT_0,MX_Left_Gui_0,MX_Right_Gui_0";"MXOnly-1.25U-NoLED";11;"MX-LED";;;
10;"SW2";"Encoder-BI_EN11_HSM0E";1;"Rotary_Encoder_Switch";;;
11;"J1";"AVR_ICSP_3x2";1;"AVR-ISP-6";;;
12;"D_1_7,D_1_13,D_2_14,D_152,D_2_1,D_5_15,D_1_14,D_2_15,D_2_8,D_3_1,D_5_11,D_1_15,D_4_1,D_2_9,D_3_2,D_1_6,D_1_5,D_4_2,D_2_10,D_3_3,D_5_14,D_2_4,D_4_3,D_2_11,D_3_4,D_5_13,D_2_5,D_4_4,D_2_12,D_3_5,D_5_9,D_2_6,D_4_5,D_2_13,D_3_6,D_5_10,D_2_7,D_4_6,D_3_7,D_4_11,D_5_1,D_2_2,D_4_7,D_3_8,D_4_12,D_5_12,D_2_3,D_4_8,D_3_9,D_4_13,D_1_9,D_3_12,D_4_9,D_3_10,D_4_14,D_1_8,D_3_13,D_4_10,D_3_11,D_1_10,D_3_14,D_1_2,D_1_3,D_5_7,D_1_11,D_3_15,D_5_5,D_1_1,D_5_2,D_5_4,D_5_6,D_1_4,D_5_3,D_5_8";"D_SOD123";74;"D_Small";;;
13;"D_4_15";"D_SOD123";1;"D_small";;;
14;"Y1";"Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm";1;"16MHz";;;
15;"USB1";"HRO-TYPE-C-31-M-13";1;"HRO-TYPE-C-31-M-12";;;
16;"U1";"LQFP-44_10x10mm_P0.8mm";1;"ATMEGA32U4-EP";;;
17;"SW1";"SW_SPST_TL3342";1;"SW_DPST";;;
18;"R5";"R_0805_2012Metric";1;"10K";;;
19;"R4,R3";"R_0805_2012Metric";2;"22";;;
20;"R2,R1";"R_0805_2012Metric";2;"5.1K";;;
21;"C10";"C_0805_2012Metric";1;"4u7";;;
22;"C9,C8,C7,C6,C4,C2";"C_0805_2012Metric";6;"0u1";;;
23;"C5,C1";"C_0805_2012Metric";2;"22p";;;
24;"C3";"C_0805_2012Metric";1;"1u";;;
25;"MX_Right_Gui_2,MX_Left_CTRL_2,MX_Left_ALT_2,MX_Backslash_0,MX_TAB_0,MX_LEFT_2";"MXOnly-1.5U-NoLED";6;"MX-LED";;;
26;"capslock_led_resistor_THT1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"-";;;
27;"MX_Capslock_0";"MXOnly-1.75U";1;"MX-LED";;;
28;"MX_Right_Shift_1";"MXOnly-1.75U-NoLED";1;"MX-LED";;;
29;"MX_Space_M_2";"MXOnly-7U-ReversedStabilizers-NoLED";1;"MX-LED";;;
30;"MX_Space_M_0";"MXOnly-6.25U-ReversedStabilizers-NoLED";1;"MX-LED";;;
31;"MX_Backspace_1";"MXOnly-2U-NoLED";1;"MX-LED";;;
32;"MX_MINUS_0";"MXOnly-1U-NoLED";1;"D_1_12";;;
