Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric",213.887500,-75.500000,0.000000,top
"C2","100nF","C_0805_2012Metric",224.800000,-84.037500,270.000000,top
"C3","100uF","C_0805_2012Metric",221.187500,-83.200000,180.000000,top
"C4","100nF","C_0805_2012Metric",221.187500,-85.200000,180.000000,top
"R1","3.3K","R_0805_2012Metric",210.500000,-74.450000,180.000000,top
"R2","3.3K","R_0805_2012Metric",217.350000,-75.450000,0.000000,top
"R3","3.3K","R_0805_2012Metric",211.112500,-85.950000,180.000000,top
"R4","3.3K","R_0805_2012Metric",211.112500,-84.000000,180.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",222.400000,-77.800000,90.000000,top
"U2","74LVC125APW,118","TSSOP-14-1EP_4.4x5mm_P0.65mm",215.200000,-80.550000,90.000000,top
