Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0u1","C_0805_2012Metric",112.600500,-89.916000,180.000000,top
"C2","0u1","C_0805_2012Metric",123.268500,-89.916000,0.000000,top
"C3","0u1","C_0805_2012Metric",112.189500,-104.902000,180.000000,top
"C4","0u1","C_0805_2012Metric",126.667500,-100.584000,0.000000,top
"C5","0u1","C_0805_2012Metric",122.760500,-105.156000,0.000000,top
"C6","4u7","C_0805_2012Metric",127.180000,-96.007500,270.000000,top
"C7","22p","C_0805_2012Metric",108.633500,-97.028000,180.000000,top
"C8","22p","C_0805_2012Metric",108.379500,-90.678000,0.000000,top
"C9","1u","C_0805_2012Metric",127.586500,-89.916000,0.000000,top
"C10","0u1","C_0805_2012Metric",124.635500,-102.616000,0.000000,top
"R3","10K","R_0805_2012Metric",111.506000,-111.681500,270.000000,top
"R4","22","R_0805_2012Metric",129.962500,-92.190000,180.000000,top
"R5","22","R_0805_2012Metric",129.962500,-94.730000,180.000000,top
"SW1","SW_DPST","SW_SPST_TL3342",119.786000,-110.866000,0.000000,top
"U1","ATMEGA32U4-EP","LQFP-44_10x10mm_P0.8mm",118.090000,-97.090000,225.000000,top
"X1","16MHz","Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm",108.420000,-93.896000,90.000000,top
